Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-September-2024,95.90,96.90,93.06,94.58,94.870106522191103990,81767,304,7757244.00,49120,60.07,3.84,-1.32
19-September-2024,95.01,98.00,91.10,92.65,94.391483309097554967,125847,517,11878885.00,63175,50.20,6.90,-2.36
18-September-2024,98.00,98.40,92.25,95.19,95.022376765638512539,55504,376,5274122.00,31832,57.35,6.15,-2.81
17-September-2024,97.00,97.00,94.00,96.16,96.332533242197124440,125819,465,12120463.00,70368,55.93,3.00,-0.84
16-September-2024,98.94,99.20,92.00,95.33,96.144073690149715920,76211,449,7327236.00,58005,76.11,7.20,-3.61
13-September-2024,95.50,96.87,93.46,95.48,94.901463106687957220,53858,375,5111203.00,39763,73.83,3.41,-0.02
12-September-2024,95.70,99.30,93.35,95.88,96.685511109400409926,103921,440,10047655.00,77119,74.21,5.95,0.18
11-September-2024,101.00,101.00,95.02,95.68,98.562410460785079836,76782,575,7567819.00,47110,61.36,5.98,-5.32
10-September-2024,90.60,97.45,90.60,96.80,96.023959980928884415,264274,949,25376636.00,139329,52.72,6.85,6.20
9-September-2024,92.50,94.90,90.60,92.80,92.719362709918185732,139340,444,12919516.00,88981,63.86,4.30,0.30
6-September-2024,95.10,95.10,91.10,92.12,92.360751214650554378,64216,375,5931038.00,,,4.00,-2.98
5-September-2024,92.80,95.50,91.00,93.40,94.255720790488057667,257613,1008,24281499.00,154233,59.87,4.50,0.60
4-September-2024,90.90,94.95,90.00,91.10,91.300194701527511592,262453,769,23962010.00,154206,58.76,4.95,0.20
3-September-2024,87.40,91.50,85.50,90.80,89.237457849799497113,291517,916,26014236.00,177747,60.97,6.00,3.40
2-September-2024,87.99,87.99,82.13,85.47,86.398955425243444692,74863,444,6468085.00,42309,56.52,5.86,-2.52
30-August-2024,88.69,88.69,85.50,86.59,86.598903564391205103,51257,335,4438800.00,36472,71.16,3.19,-2.10
29-August-2024,89.80,89.80,84.50,86.38,87.187088766106088733,91037,526,7937251.00,48143,52.88,5.30,-3.42
28-August-2024,87.05,92.90,87.05,88.88,90.403251895752995677,154556,836,13972365.00,86475,55.95,5.85,1.83
27-August-2024,88.55,89.30,87.16,88.68,88.428872081888892871,195289,605,17269186.00,92421,47.33,2.14,0.13
26-August-2024,89.50,89.50,84.50,87.63,87.367653992884392815,93316,484,8152800.00,62579,67.06,5.00,-1.87
23-August-2024,90.00,90.90,86.02,87.80,88.131781546974618068,199512,520,17583348.00,132329,66.33,4.88,-2.20
