Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2023,86.50,95.00,81.15,84.45,384924,3286,33194450.00,228947,59.48,13.85,-2.05
February-2023,88.30,93.50,78.00,83.25,562167,4191,49147139.00,441259,78.49,15.50,-5.05
March-2023,83.00,93.99,72.60,80.19,370251,3653,31629797.00,273346,73.83,21.39,-2.81
April-2023,82.40,87.50,80.00,83.25,243340,2138,20350006.00,202309,83.14,7.50,0.85
May-2023,83.89,86.10,72.50,79.14,646082,4496,51898896.00,427603,66.18,13.60,-4.75
June-2023,81.00,107.80,76.51,99.02,1932962,13168,182982022.00,1403706,72.62,31.29,18.02
July-2023,99.02,101.85,88.16,93.17,586345,5937,55227607.00,450358,76.81,13.69,-5.85
August-2023,93.49,115.60,86.90,112.94,1869798,12394,190271230.00,1431801,76.58,28.70,19.45
September-2023,113.50,130.40,96.65,111.75,1657640,13921,195968928.00,1181505,71.28,33.75,-1.75
October-2023,114.85,119.95,104.05,111.05,564047,5242,62744958.00,439227,77.87,15.90,-3.80
November-2023,110.45,134.70,86.40,127.80,1355314,10907,156959096.00,998032,73.64,48.30,17.35
December-2023,131.95,133.90,108.00,117.15,1013876,11658,121476127.00,796427,78.55,25.90,-14.80
January-2024,118.00,180.00,89.70,91.45,4309389,57518,591255011.00,3124921,72.51,90.30,-26.55
February-2024,91.90,95.00,69.80,75.16,1349928,17486,112992768.00,1349928,100.00,25.20,-16.74
March-2024,78.00,83.85,64.22,74.62,665491,6741,48940766.00,665491,100.00,19.63,-3.38
April-2024,74.00,94.98,72.11,89.80,1576745,10102,132549021.00,1154664,73.23,22.87,15.80
May-2024,90.80,93.40,68.10,71.71,944336,8753,77388110.00,660188,69.91,25.30,-19.09
June-2024,79.90,79.90,67.70,71.94,744326,7378,53889395.00,587507,78.93,12.20,-7.96
July-2024,72.15,73.90,64.50,68.37,843007,7949,58797218.00,680673,80.74,9.40,-3.78
August-2024,67.12,92.90,58.00,86.59,3185462,14053,260651421.00,1946462,61.10,34.90,19.47
September-2024,87.99,101.00,82.13,94.58,2053985,8406,192037647.00,1237762,60.26,18.87,6.59
